analysis_id,dhd12z3622w2n80
gene_symbol,Frmpd1
parameter_name,Retinal Blood Vessels
pvalue,0.1651166
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_024_001
gene_accession_id,MGI:2446274
mouse_strain,C57BL
