parameter_name,Number of centre entries
mouse_strain,C57BL
pvalue,0.9368679
parameter_id,ESLIM_007_001_015
mouse_life_stage,Late adult
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
analysis_id,4lx52w91w56q1t4
