gene_symbol,Psd4
analysis_id,n3h12i4f73723uh
mouse_strain,C57BL
gene_accession_id,MGI:2674093
pvalue,0.6222391
mouse_life_stage,Early adult
parameter_name,Persistence of hyaloid vascular system
parameter_id,IMPC_EYE_027_001
