analysis_id,0n25bkg59vk4sz6
gene_symbol,Snap23
gene_accession_id,MGI:109356
parameter_name,UIBC (unsaturated iron binding capacity)
pvalue,0.1886462
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_024_001
