analysis_id,0jp3vk78q26s6h9
parameter_name,Alkaline phosphatase
pvalue,0.683699
mouse_life_stage,Early adult
parameter_id,HRWLLA_CBC_014_001
mouse_strain,C57BL
gene_accession_id,MGI:88380
gene_symbol,F2
