parameter_name,Calcium
pvalue,0.2859242
parameter_id,HMGULA_CBC_009_001
gene_symbol,Eprs1
mouse_strain,C57BL
mouse_life_stage,E12.5
analysis_id,f863by987at3x3e
gene_accession_id,MGI:97838
