parameter_name,Basophil differential count
gene_symbol,Sema6c
gene_accession_id,MGI:1338032
mouse_strain,C57BL
analysis_id,c69lbbx1q566892
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_038_001
pvalue,0.7588836
