gene_symbol,Usp37
mouse_life_stage,Early adult
gene_accession_id,MGI:2442483
mouse_strain,C57BL
parameter_id,MGP_PBI_031_001
parameter_name,KLRG1+ mature NK cell number
analysis_id,c8e574ay8624o9w
pvalue,0.5070389
