gene_symbol,Lrrc69
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,MGP_IMM_073_001
analysis_id,2589v3lp9nx21q1
pvalue,0.298381
parameter_name,Effector CD4+ T helper cells - % of CD45+
gene_accession_id,MGI:1920564
