parameter_name,Delayed embryonic development
pvalue,0.5620946
mouse_strain,C57BL
gene_symbol,Pum1
gene_accession_id,MGI:1931749
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_063_001
analysis_id,4f8ge8090t4dqf6
