analysis_id,6t81108465c7c52
mouse_life_stage,Early adult
gene_accession_id,MGI:1913396
gene_symbol,Maco1
parameter_name,Hindlimbs - size
parameter_id,JAXLA_CSD_022_001
pvalue,0.06757718
mouse_strain,C57BL
