parameter_name,Hindlimbs - shape
gene_symbol,Sfpq
gene_accession_id,MGI:1918764
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4531418
analysis_id,4qacxc6ugpzh6ih
parameter_id,JAXLA_CSD_021_001
