parameter_name,DN CD44+CD62L- NKT cells
gene_symbol,Clvs1
pvalue,0.5789918
gene_accession_id,MGI:1921688
mouse_strain,C57BL
analysis_id,j76nbw1k5xl318s
parameter_id,IMPC_IMM_046_001
mouse_life_stage,Early adult
