analysis_id,3x385v9nc62u29b
gene_symbol,Zmynd19
gene_accession_id,MGI:1914437
parameter_id,ESLIM_016_001_003
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4558585
parameter_name,Haemoglobin
