parameter_id,HMGULA_SHI_009_001
gene_accession_id,MGI:109356
gene_symbol,Snap23
parameter_name,Startle response
pvalue,0.7245433
analysis_id,31350jm98q4hr51
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
