gene_symbol,SDCBP2
parameter_name,Glucose
mouse_life_stage,Early adult
gene_accession_id,MGI:2385156
mouse_strain,C57BL
pvalue,0.5363625
analysis_id,sg1r7crdms49x8g
parameter_id,HMGULA_CBC_018_001
