parameter_name,Right total retinal thickness
pvalue,0.07184427
mouse_strain,C57BL
parameter_id,IMPC_EYE_062_001
analysis_id,243145omiw3r054
gene_symbol,Maco1
mouse_life_stage,Early adult
gene_accession_id,MGI:1913396
