analysis_id,f0vfyn0e9uo86mh
parameter_id,MGP_PBI_002_001
gene_symbol,Snap23
parameter_name,Alpha beta T cell percentage
gene_accession_id,MGI:109356
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
pvalue,0.7136688
