gene_symbol,Dnajc6
parameter_id,IMPC_ECG_028_001
analysis_id,239e3k37wdk6i0y
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4751479
gene_accession_id,MGI:1919935
parameter_name,QT
