analysis_id,i012690043v147e
pvalue,0.5033833
parameter_name,Red blood cell count
gene_symbol,Bach2
gene_accession_id,MGI:894679
parameter_id,IMPC_HEM_002_001
mouse_life_stage,Early adult
mouse_strain,C57BL
