analysis_id,0tg148vos64c057
parameter_name,Vibrissae - appearance
gene_accession_id,MGI:1914071
mouse_life_stage,E12.5
gene_symbol,Bcs1l
pvalue,0.2095317
mouse_strain,C57BL
parameter_id,HMGULA_DYS_024_001
