analysis_id,1554w3w93haa039
parameter_id,UCDLA_EYE_017_001
mouse_life_stage,Early adult
parameter_name,Lens Opacity
mouse_strain,C57BL
gene_symbol,Kif24
pvalue,0.4805165
gene_accession_id,MGI:1918345
