analysis_id,j4957bowy2p2136
parameter_name,Effector CD8+ T cells - % of CD8+
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Arpc5l
gene_accession_id,MGI:1921442
pvalue,0.5901314
parameter_id,MGP_IMM_014_001
