analysis_id,632g47k5wy1543z
gene_accession_id,MGI:109128
parameter_name,Stroke Volume
parameter_id,IMPC_ECH_003_001
gene_symbol,Hnf4a
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.1912234
