parameter_id,IMPC_ABR_006_001
gene_accession_id,MGI:88380
mouse_life_stage,Early adult
parameter_name,12kHz-evoked ABR Threshold
gene_symbol,F2
pvalue,0.515666
analysis_id,36f71bwi2c5zk6c
mouse_strain,C57BL
