gene_symbol,Casq1
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3245687
analysis_id,9gtlrep6r7i9kh0
gene_accession_id,MGI:1309468
parameter_id,MGP_MLN_032_001
parameter_name,Effector NK cells - % of NK cells
