gene_symbol,Dmap1
parameter_id,IMPC_OFD_012_001
parameter_name,Periphery permanence time
gene_accession_id,MGI:1913483
analysis_id,s1fg6l07156erv7
mouse_strain,C57BL
mouse_life_stage,E12.5
pvalue,0.2278644
