analysis_id,cgcf975bhr7i16l
gene_accession_id,MGI:88174
gene_symbol,Bmi1
parameter_id,MGP_MLN_058_001
parameter_name,Plasmacytoid DC - % of DC
mouse_life_stage,E12.5
pvalue,0.1043892
mouse_strain,C57BL
