analysis_id,eltxgz19m8r3i9p
gene_symbol,Arpc5l
mouse_strain,C57BL
parameter_id,IMPC_EYE_024_001
gene_accession_id,MGI:1921442
pvalue,0.6250678
mouse_life_stage,Early adult
parameter_name,Retinal Blood Vessels
