analysis_id,rb26386z32861p3
pvalue,0.8099485
gene_symbol,Mgst2
mouse_life_stage,Early adult
parameter_name,Effector CD4+ T helper cells - % of CD45+
parameter_id,MGP_MLN_066_001
gene_accession_id,MGI:2448481
mouse_strain,C57BL
