analysis_id,7d2i74kru87t1s7
mouse_life_stage,Early adult
parameter_id,MGP_IMM_071_001
gene_symbol,Mgst2
mouse_strain,C57BL
gene_accession_id,MGI:2448481
pvalue,0.1047701
parameter_name,Total CD4+ T cells - % of CD45+
