parameter_id,HRWLLA_DXA_007_001
analysis_id,n134rlt4n7dp1ag
parameter_name,BMC/Body weight
gene_accession_id,MGI:1345282
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,Slc30a4
pvalue,0.7883688
