parameter_name,Glucose
gene_accession_id,MGI:2685266
parameter_id,IMPC_CBC_018_001
mouse_life_stage,Early adult
pvalue,0.8901251
gene_symbol,Pglyrp3
analysis_id,zc645rr9w8169zp
mouse_strain,C57BL
