gene_symbol,Gja10
gene_accession_id,MGI:1339969
pvalue,0.8165862
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_life_stage,Early adult
parameter_id,MGP_IMM_073_001
analysis_id,8y599h296j0lb4u
mouse_strain,C57BL
