analysis_id,7n00v49n8tm1171
mouse_strain,C57BL
gene_symbol,Zmynd8
parameter_id,IMPC_GPO_002_001
pvalue,0.8580928
parameter_name,Placenta Morphology
mouse_life_stage,Early adult
gene_accession_id,MGI:1918025
