parameter_name,Potassium
gene_accession_id,MGI:1339969
pvalue,0.4457413
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Gja10
parameter_id,GMC_906_001_005
analysis_id,9790s4cmq7x6x9l
