parameter_name,Iron
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_011_001
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
pvalue,0.5816122
analysis_id,9i1af4je762lau8
mouse_strain,C57BL
