parameter_name,Mean-cell-volume
mouse_life_stage,Early adult
analysis_id,c70978b1o1q02x5
pvalue,0.1641357
mouse_strain,129SV
parameter_id,M-G-P_016_001_005
gene_symbol,Cds2
gene_accession_id,MGI:1332236
