analysis_id,35ocwkxf7kn1230
gene_accession_id,MGI:2385884
pvalue,0.587795
mouse_strain,C57BL
gene_symbol,DDX27
parameter_name,Sodium
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_001_001
