parameter_name,Weight
gene_symbol,Gpbp1l1
pvalue,0.8452453
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,M-G-P_005_001_001
gene_accession_id,MGI:1924360
analysis_id,854z45levl58tri
