analysis_id,bb233w75xbmjf5e
gene_symbol,Secisbp2l
mouse_life_stage,Middle aged adult
pvalue,0.1535063
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_accession_id,MGI:1917604
parameter_id,JAXLA_GRS_011_001
mouse_strain,C57BL
