analysis_id,z0qsyvz7bi24l1i
parameter_name,Time mobile light side
gene_symbol,Kifap3
parameter_id,JAX_LDT_003_001
mouse_life_stage,Early adult
pvalue,0.1790863
gene_accession_id,MGI:107566
mouse_strain,C57BL
