parameter_name,Fructosamine
parameter_id,IMPC_CBC_020_001
gene_accession_id,MGI:109356
pvalue,0.7462157
gene_symbol,Snap23
analysis_id,t2yj1dq95s0fq2c
mouse_life_stage,Late adult
mouse_strain,C57BL
