gene_symbol,Alkbh3
parameter_name,Total cholesterol
parameter_id,IMPC_CBC_015_001
gene_accession_id,MGI:1916363
analysis_id,42m205asx03tpsc
pvalue,0.3529725
mouse_life_stage,Early adult
mouse_strain,C57BL
