parameter_name,PQ
parameter_id,IMPC_ECG_005_001
gene_symbol,Car13
gene_accession_id,MGI:1931322
pvalue,0.288315
mouse_life_stage,Early adult
analysis_id,8nmez9qh5it71u8
mouse_strain,C57BL
