parameter_id,MGP_CSD_064_001
gene_accession_id,MGI:95835
analysis_id,nc6dx5403040764
pvalue,0.9825717
gene_symbol,Hspa5
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_name,Head morphology
