parameter_id,IMPC_EYE_026_001
pvalue,0.6868149
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
parameter_name,Retinal Blood Vessels Pattern
gene_symbol,Mgst2
analysis_id,h2q3vudcit6tkp7
mouse_strain,C57BL
