analysis_id,1glv4oupow9ta39
pvalue,0.3270613
parameter_name,Bone Mineral Density (excluding skull)
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
mouse_strain,C57BL
parameter_id,IMPC_DXA_004_001
mouse_life_stage,Middle aged adult
