parameter_id,UCDLA_EYE_017_001
gene_accession_id,MGI:2670995
mouse_strain,C57BL
gene_symbol,Trp53i11
mouse_life_stage,Early adult
analysis_id,qo7860k097g205k
parameter_name,Lens Opacity
pvalue,0.1636848
