parameter_name,DN NKT cells
pvalue,0.7863743
analysis_id,g6g42j77hhsl9ss
gene_accession_id,MGI:1917810
mouse_strain,C57BL
parameter_id,IMPC_IMM_013_001
mouse_life_stage,E12.5
gene_symbol,Wars2
