analysis_id,2270p17dl6o68ch
gene_accession_id,MGI:1919935
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Dnajc6
parameter_id,MGP_MLN_071_001
pvalue,0.7479526
parameter_name,Resting Treg cells - % of CD45+
