gene_symbol,Ntmt2
mouse_strain,C57BL
pvalue,0.4700574
analysis_id,42ospj87l49k4mo
mouse_life_stage,Early adult
gene_accession_id,MGI:2685053
parameter_id,IMPC_CSD_036_001
parameter_name,Startle response
