parameter_name,Hemorrhage
mouse_strain,C57BL
gene_accession_id,MGI:1922855
gene_symbol,Kdm5b
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_009_002
pvalue,0.8275779
analysis_id,66x476xyfr58h36
