parameter_id,IMPC_GEP_076_001
pvalue,0.7726678
analysis_id,017uz72wo46693l
mouse_life_stage,Early adult
parameter_name,Cleft palate
gene_symbol,Bmp7
mouse_strain,C57BL
gene_accession_id,MGI:103302
