parameter_name,Distance travelled - total
pvalue,0.4402617
gene_accession_id,MGI:1918025
parameter_id,JAXLA_OFD_020_001
gene_symbol,Zmynd8
mouse_life_stage,Early adult
analysis_id,d8cw9771817l18r
mouse_strain,C57BL
