gene_symbol,Cd52
mouse_strain,C57BL
analysis_id,s35noa0c01507d9
pvalue,0.4819842
mouse_life_stage,Early adult
gene_accession_id,MGI:1346088
parameter_id,JAX_ROT_002_001
parameter_name,Average duration
