analysis_id,09ie03vy4b9untd
mouse_strain,C57BL
parameter_id,IMPC_GRS_009_001
pvalue,0.913076
mouse_life_stage,Early adult
gene_accession_id,MGI:2446274
parameter_name,Forelimb and hindlimb grip strength measurement mean
gene_symbol,Frmpd1
