gene_symbol,Cpa3
parameter_id,JAX_OFD_017_001
analysis_id,pzb0qv6ejr2z869
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:88479
parameter_name,Center average speed
pvalue,0.7999299
