analysis_id,a5kq19k5hs15392
parameter_name,Periphery distance travelled
mouse_strain,C57BL
gene_symbol,Tiprl
pvalue,0.4913913
gene_accession_id,MGI:1915087
parameter_id,JAX_OFD_010_001
mouse_life_stage,E12.5
