analysis_id,l9u6y570ch2aq6t
parameter_id,ESLIM_008_001_017
mouse_strain,129SV
gene_symbol,Bpifa3
pvalue,0.4726402
parameter_name,Limb grasping
mouse_life_stage,Early adult
gene_accession_id,MGI:1920638
