analysis_id,u85r98t4t43u4x6
mouse_life_stage,Early adult
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
gene_accession_id,MGI:1345282
parameter_id,MGP_IMM_017_001
gene_symbol,Slc30a4
mouse_strain,C57BL
pvalue,0.9350868
