gene_symbol,Zyg11b
analysis_id,4t86lso4o3co2jm
mouse_life_stage,Early adult
pvalue,0.4688424
gene_accession_id,MGI:2685277
mouse_strain,C57BL
parameter_name,Body position
parameter_id,ESLIM_008_001_001
