analysis_id,12203ewns2mw2ns
gene_symbol,Sema6c
gene_accession_id,MGI:1338032
mouse_life_stage,Early adult
parameter_name,Light side time spent
parameter_id,JAX_LDT_002_001
pvalue,0.4331628
mouse_strain,C57BL
