analysis_id,28005c4vk1d0795
gene_accession_id,MGI:1919949
Pvalue,0.5796218
Parameter_name,KLRG1+ Treg cells - % of CD45+
gene_symbol,Lime1
parameter_id,MGP_MLN_072_001
mouse_life_stage,Early adult
Mouse_strain,C57BL
